retailer,manufacturer,product_name,category,price,url
zahcomputers,Cooler,Cooler Master Elite NEX W700 230V 700W 80+ ATX Non Modular Power Supply,psu,14799.0,https://zahcomputers.pk/product/cooler-master-elite-nex-w700-230v-700w-80-atx-non-modular-power-supply/
zahcomputers,Thermalright,Thermalright AX-1000 1000W 80 Plus Gold Fully Modular Power Supply,psu,36499.0,https://zahcomputers.pk/product/thermalright-ax-1000-1000w-80-plus-gold-fully-modular-power-supply/
zahcomputers,Acer,Acer eMachines AC1000 1000W Full Modular 80 Plus Gold Certified Black Power Supply,psu,36000.0,https://zahcomputers.pk/product/acer-emachines-ac1000-1000w-full-modular-80-plus-gold-certified-black-power-supply/
zahcomputers,Acer,Acer eMachines AC750 750W Full Modular 80 Plus Bronze Certified Black Power Supply,psu,16500.0,https://zahcomputers.pk/product/acer-emachines-ac750-750w-full-modular-80-plus-bronze-certified-black-power-supply/
zahcomputers,Acer,Acer eMachines AC650 650W Full Modular 80 Plus Bronze Certified Black Power Supply,psu,13500.0,https://zahcomputers.pk/product/acer-emachines-ac650-650w-full-modular-80-plus-bronze-certified-black-power-supply/
zahcomputers,Cooler,"Cooler Master MWE Gold 850 V3 Full Modular PSU, 850W, 80 Plus Gold, ATX 3.1, PCIe 5.1",psu,30999.0,https://zahcomputers.pk/product/cooler-master-mwe-gold-850-v3-full-modular-psu-850w-80-plus-gold-atx-3-1-pcie-5-1/
zahcomputers,Cooler,"Cooler Master MWE Gold 850 V3 Non-Modular PSU, 850W, 80 Plus Gold, ATX 3.1, Zero-RPM Mode",psu,25799.0,https://zahcomputers.pk/product/cooler-master-mwe-gold-850-v3-non-modular-psu-850w-80-plus-gold-atx-3-1-zero-rpm-mode/
zahcomputers,Cooler,"Cooler Master MWE Gold 750 V3 Non-Modular PSU, 750W, 80 Plus Gold, ATX 3.1, Zero RPM Mode",psu,20799.0,https://zahcomputers.pk/product/cooler-master-mwe-gold-750-v3-non-modular-psu-750w-80-plus-gold-atx-3-1-zero-rpm-mode/
zahcomputers,Cooler,"Cooler Master MWE Gold 650 V3 Non-Modular PSU, 650W, 80 Plus Gold, ATX 3.1, Zero RPM Mode",psu,17499.0,https://zahcomputers.pk/product/cooler-master-mwe-gold-650-v3-non-modular-psu-650w-80-plus-gold-atx-3-1-zero-rpm-mode/
zahcomputers,ASUS,ASUS ROG Thor 1200W Platinum III Power Supply,psu,134000.0,https://zahcomputers.pk/product/asus-rog-thor-1200w-platinum-iii-power-supply/
zahcomputers,ASUS,ASUS ROG Thor 1000W Platinum III Power Supply,psu,119699.0,https://zahcomputers.pk/product/asus-rog-thor-1000w-platinum-iii-power-supply/
zahcomputers,Corsair,Corsair RMx Series RM1000x Shift 80 PLUS Gold Fully Modular ATX Power Supply – White (UK),psu,59500.0,https://zahcomputers.pk/product/corsair-rmx-series-rm1000x-shift-80-plus-gold-fully-modular-atx-power-supply-white-uk/
zahcomputers,Cougar,Cougar GES 750W 80 PLUS Gold Fully-Modular Power Supply,psu,18000.0,https://zahcomputers.pk/product/cougar-gr-850w-80-plus-gold-certified-power-supply-black-copy/
zahcomputers,Cougar,Cougar GR 850W 80 PLUS Gold-Certified Power Supply Black,psu,23500.0,https://zahcomputers.pk/product/cougar-gr-850w-80-plus-gold-certified-power-supply-black/
zahcomputers,GameMax,"GameMax GP 650B HW 80+ Bronze Ultra-Stable, Smart Fan, and Premium Heat Dissipation Power Supply – White",psu,13000.0,https://zahcomputers.pk/product/gamemax-gp-650b-hw-80-bronze-ultra-stable-smart-fan-and-premium-heat-dissipation-power-supply-white/
zahcomputers,GameMax,"GameMax GP 650B 80+ Bronze Ultra-Stable, Smart Fan, and Premium Heat Dissipation Power Supply – Black",psu,12000.0,https://zahcomputers.pk/product/gamemax-gp-650b-80-bronze-ultra-stable-smart-fan-and-premium-heat-dissipation-power-supply-black/
zahcomputers,GameMax,GameMax GP 550B 80+ Bronze Ultra-Stable Smart Fan and Premium Heat Dissipation Power Supply – Black,psu,11000.0,https://zahcomputers.pk/product/gamemax-gp-550b-80-bronze-ultra-stable-smart-fan-and-premium-heat-dissipation-power-supply-black/
zahcomputers,Thermalright,Thermalright TP-1650 1650W 80 Plus Platinum Fully Modular Power Supply,psu,92499.0,https://zahcomputers.pk/product/thermalright-tp-1650-1650w-80-plus-platinum-fully-modular-power-supply/
zahcomputers,Thermalright,Thermalright SP-1000 1000W 80 Plus Platinum Fully Modular Power Supply,psu,37499.0,https://zahcomputers.pk/product/thermalright-sp-1000-1000w-80-plus-platinum-fully-modular-power-supply/
zahcomputers,Thermalright,Thermalright SP-850-W 850W 80 Plus Platinum Fully Modular Power Supply – White,psu,28499.0,https://zahcomputers.pk/product/thermalright-sp-850-w-850w-80-plus-platinum-fully-modular-power-supply-white/
zahcomputers,Thermalright,Thermalright SP-850 850W 80 Plus Platinum Fully Modular Power Supply,psu,26899.0,https://zahcomputers.pk/product/thermalright-sp-850-850w-80-plus-platinum-fully-modular-power-supply/
zahcomputers,Thermalright,Thermalright SP-750 750W 80 Plus Platinum Fully Modular Power Supply,psu,24499.0,https://zahcomputers.pk/product/thermalright-sp-750-750w-80-plus-platinum-fully-modular-power-supply/
zahcomputers,MSI,MSI MEG Ai1600T PCIe5 1600W Full Modular Compact 80 PLUS Titanium ATX 3.1 PCIE 5.1 Power Supply,psu,185000.0,https://zahcomputers.pk/product/msi-meg-ai1600t-pcie5-1600w-full-modular-compact-80-plus-titanium-atx-3-1-pcie-5-1-power-supply/
zahcomputers,FSP,FSP Vita GM 1000W 80 Plus Gold ATX 3.1 Fully Modular Power Supply,psu,35999.0,https://zahcomputers.pk/product/fsp-vita-gm-1000w-80-plus-gold-atx-3-1-fully-modular-power-supply/
zahcomputers,FSP,FSP Vita GD 850W 80 Plus Gold ATX 3.1 Power Supply,psu,24799.0,https://zahcomputers.pk/product/fsp-vita-gd-850w-80-plus-gold-atx-3-1-power-supply/
zahcomputers,FSP,FSP Vita BD 850W 80 Plus Bronze ATX 3.1 Power Supply,psu,21799.0,https://zahcomputers.pk/product/fsp-vita-bd-850w-80-plus-bronze-atx-3-1-power-supply/
zahcomputers,FSP,FSP Vita BD 750W 80 Plus Bronze ATX 3.1 Power Supply,psu,17799.0,https://zahcomputers.pk/product/fsp-vita-bd-750w-80-plus-bronze-atx-3-1-power-supply/
zahcomputers,FSP,FSP Vita BD 650W 80 Plus Bronze ATX 3.1 Power Supply,psu,14799.0,https://zahcomputers.pk/product/fsp-vita-bd-650w-80-plus-bronze-atx-3-1-power-supply/
zahcomputers,FSP,FSP Vita BD 550W 80 Plus Bronze ATX 3.1 Power Supply,psu,12799.0,https://zahcomputers.pk/product/fsp-vita-bd-550w-80-plus-bronze-atx-3-1-power-supply/
zahcomputers,Thermaltake,"Thermaltake Toughpower PT 1200W 80 Plus Platinum Power Supply – ATX 3.1 600W 12V-2×6 Connector Included, Full Modular",psu,51399.0,https://zahcomputers.pk/product/thermaltake-toughpower-pt-1200w-80-plus-platinum-power-supply-atx-3-1-600w-12v-2x6-connector-included-full-modular/
zahcomputers,Thermaltake,"Thermaltake Toughpower PT 1000W 80 Plus Platinum Power Supply – ATX 3.1 600W 12V-2×6 Connector Included, Full Modular",psu,44999.0,https://zahcomputers.pk/product/thermaltake-toughpower-pt-1000w-80-plus-platinum-power-supply-atx-3-1-600w-12v-2x6-connector-included-full-modular/
zahcomputers,Thermaltake,"Thermaltake ToughPower GT 850W ATX 3.1 Standard Power Supply – 80 Plus Gold Efficiency Fully Modular, Smart Zero Fan Native 300W PCIe 5.1 Connector – Snow",psu,26799.0,https://zahcomputers.pk/product/thermaltake-toughpower-gt-850w-atx-3-1-standard-power-supply-80-plus-gold-efficiency-fully-modular-smart-zero-fan-native-300w-pcie-5-1-connector-snow/
zahcomputers,Thermaltake,"Thermaltake ToughPower GT 750W ATX 3.1 Standard Power Supply – 80 Plus Gold Efficiency Fully Modular, Smart Zero Fan Native 300W PCIe 5.1 Connector – Snow",psu,24799.0,https://zahcomputers.pk/product/thermaltake-toughpower-gt-750w-atx-3-1-standard-power-supply-80-plus-gold-efficiency-fully-modular-smart-zero-fan-native-300w-pcie-5-1-connector-snow/
zahcomputers,Thermaltake,"Thermaltake ToughPower GT 850W ATX 3.1 Standard Power Supply – 80 Plus Gold Efficiency Fully Modular, Smart Zero Fan Native 300W PCIe 5.1 Connector – Black",psu,26799.0,https://zahcomputers.pk/product/thermaltake-toughpower-gt-850w-atx-3-1-standard-power-supply-80-plus-gold-efficiency-fully-modular-smart-zero-fan-native-300w-pcie-5-1-connector-black/
zahcomputers,Thermaltake,"Thermaltake ToughPower GT 750W ATX 3.1 Standard Power Supply – 80 Plus Gold Efficiency Fully Modular, Smart Zero Fan Native 300W PCIe 5.1 Connector – Black",psu,24799.0,https://zahcomputers.pk/product/thermaltake-toughpower-gt-750w-atx-3-1-standard-power-supply-80-plus-gold-efficiency-fully-modular-smart-zero-fan-native-300w-pcie-5-1-connector-black/
zahcomputers,Thermaltake,Thermaltake Smart BX3 Bronze 750W – 80 Plus Bronze ATX 3.1 Standard Power Supply Non-Modular,psu,18799.0,https://zahcomputers.pk/product/thermaltake-smart-bx3-bronze-750w-80-plus-bronze-atx-3-1-standard-power-supply-non-modular/
zahcomputers,Thermaltake,Thermaltake Smart BX3 Bronze 650W – 80 Plus Bronze ATX 3.1 Standard Power Supply Non-Modular,psu,15799.0,https://zahcomputers.pk/product/thermaltake-smart-bx3-bronze-650w-80-plus-bronze-atx-3-1-standard-power-supply-non-modular/
zahcomputers,Thermaltake,Thermaltake Smart BX3 Bronze 550W – 80 Plus Bronze ATX 3.1 Standard Power Supply Non-Modular,psu,13799.0,https://zahcomputers.pk/product/thermaltake-smart-bx3-bronze-550w-80-plus-bronze-atx-3-1-standard-power-supply-non-modular/
zahcomputers,Super,Super Flower Zillion DW White 650W Power Supply,psu,12000.0,https://zahcomputers.pk/product/super-flower-zillion-dw-white-650w-power-supply/
zahcomputers,Gigabyte,Gigabyte GP-P550SS 550W 80+ Silver Power Supply,psu,12499.0,https://zahcomputers.pk/product/gigabyte-gp-p550ss-550w-80-silver-power-supply/
zahcomputers,Lian,Lian Li Edge 1000W PCIE 5.1 Fully Modular 80 Pluse Gold PSU with USB & Fan Hub – White,psu,52000.0,https://zahcomputers.pk/product/lian-li-edge-1000w-pcie-5-1-fully-modular-80-pluse-gold-psu-with-usb-fan-hub-white/
zahcomputers,Lian,Lian Li EDGE GOLD 1200W 80 PLUS Gold Modular ATX Power Supply – Black,psu,55000.0,https://zahcomputers.pk/product/lian-li-edge-gold-1200w-80-plus-gold-modular-atx-power-supply-black/
zahcomputers,1st,1st Player NGDP 1300W 80 PLUS Platinum ATX 3.1 Power Supply White,psu,56000.0,https://zahcomputers.pk/product/1st-player-ngdp-1300w-80-plus-platinum-atx-3-1-power-supply-white/
zahcomputers,1st,1st Player NGDP 1300W 80 PLUS Platinum ATX 3.1 Power Supply Black,psu,55000.0,https://zahcomputers.pk/product/1st-player-ngdp-1300w-80-plus-platinum-atx-3-1-power-supply-black/
zahcomputers,1st,1st Player NGDP 1000W 80 PLUS Platinum ATX 3.1 Power Supply White,psu,45000.0,https://zahcomputers.pk/product/1st-player-ngdp-1000w-80-plus-platinum-atx-3-1-power-supply-white/
zahcomputers,1st,1st Player NGDP 1000W 80 PLUS Platinum ATX 3.1 Power Supply Black,psu,43500.0,https://zahcomputers.pk/product/1st-player-ngdp-1000w-80-plus-platinum-atx-3-1-power-supply-black/
