retailer,manufacturer,product_name,category,price,url
zahcomputers,GIGABYTE,GIGABYTE X870E AORUS Elite X3D AMD AM5 LGA 1718 ATX Motherboard,motherboards,128000.0,https://zahcomputers.pk/product/gigabyte-x870e-aorus-elite-x3d-amd-am5-lga-1718-atx-motherboard/
zahcomputers,Ease,Ease EB650M AM5 B650 DDR5 Micro-ATX Motherboard,motherboards,28600.0,https://zahcomputers.pk/product/ease-eb650m-am5-b650-ddr5-micro-atx-motherboard/
zahcomputers,GIGABYTE,GIGABYTE X870E AORUS PRO X3D ICE AM5 AMD X870E ATX Motherboard,motherboards,129999.0,https://zahcomputers.pk/product/gigabyte-x870e-aorus-pro-x3d-ice-am5-amd-x870e-atx-motherboard/
zahcomputers,ASUS,ASUS Prime Z890-P-CSM DDR5 LGA1851 ATX Motherboard,motherboards,82000.0,https://zahcomputers.pk/product/asus-prime-z890-p-csm-ddr5-lga1851-atx-motherboard/
zahcomputers,Gigabyte,"Gigabyte B850M DS3H Ice AM5 M-ATX Motherboard AMD B850 Chipset 4x DDR5 DIMM Slots, Up to 256GB Max Memory 1x PCIe 5.0 x16, 2x M.2 Slots White",motherboards,44000.0,https://zahcomputers.pk/product/gigabyte-b850m-ds3h-ice-am5-m-atx-motherboard-amd-b850-chipset-4x-ddr5-dimm-slots-up-to-256gb-max-memory-1x-pcie-5-0-x16-2x-m-2-slots-white/
zahcomputers,MSI,MSI B850 Gaming Plus Wifi 6E AMD AM5 DDR5 ATX Motherboard,motherboards,69000.0,https://zahcomputers.pk/product/msi-b850-gaming-plus-wifi-6e-amd-am5-ddr5-atx-motherboard/
zahcomputers,MSI,MSI Pro B850-S WIFI6E ATX AM5 DDR5 Gaming Motherboard,motherboards,60499.0,https://zahcomputers.pk/product/msi-pro-b850-s-wifi6e-atx-am5-ddr5-gaming-motherboard/
zahcomputers,Gigabyte,Gigabyte X870E Aorus Elite WIFI7 ICE AM5 ATX Motherboard,motherboards,125000.0,https://zahcomputers.pk/product/gigabyte-x870e-aorus-elite-wifi7-ice-am5-atx-motherboard/
zahcomputers,ASUS,ASUS ROG STRIX X870E-H GAMING WIFI7 AMD X870E-H ATX motherboard with 16+2+1 power stages Dynamic OC Switcher Core Flex DDR5 AEMP WiFi 7 4x M.2 PCIe 5.0 Q-Release dual USB4 ports and USB 10Gbps Type-C,motherboards,134299.0,https://zahcomputers.pk/product/asus-rog-strix-x870e-h-gaming-wifi7-amd-x870e-h-atx-motherboard-with-1621-power-stages-dynamic-oc-switcher-core-flex-ddr5-aemp-wifi-7-4x-m-2-pcie-5-0-q-release-dual-usb4-ports-and-usb-10gbps-type-c/
zahcomputers,ASUS,ASUS TUF GAMING X870E-PLUS WIFI7 AM5 ATX Motherboard,motherboards,109299.0,https://zahcomputers.pk/product/asus-tuf-gaming-x870e-plus-wifi7-am5-atx-motherboard/
