retailer,manufacturer,product_name,category,price,url
zahcomputers,Intel,Intel Core Ultra 9 285 24 cores (8 P-cores + 16 E-cores) up to 5.6 GHz Desktop Processor,cpu,150000.0,https://zahcomputers.pk/product/intel-core-ultra-9-285-24-cores-8-p-cores-16-e-cores-up-to-5-6-ghz-desktop-processor/
zahcomputers,AMD,AMD Ryzen 5 7500F Zen 4 CPU Processor Box,cpu,44500.0,https://zahcomputers.pk/product/amd-ryzen-5-7500f-zen-4-cpu-processor-box/
zahcomputers,AMD,AMD Ryzen 7 5700X3D Processor – Tray,cpu,79000.0,https://zahcomputers.pk/product/amd-ryzen-7-5700x3d-processor-tray/
zahcomputers,AMD,AMD Ryzen 9 9900X3D 4.4 GHz 12-Core AM5 Processor,cpu,175000.0,https://zahcomputers.pk/product/amd-ryzen-9-9900x3d-4-4-ghz-12-core-am5-processor/
zahcomputers,AMD,AMD Ryzen 9 9900X 4.4 GHz 12-Core AM5 Processor,cpu,175000.0,https://zahcomputers.pk/product/amd-ryzen-9-9900x-4-4-ghz-12-core-am5-processor/
zahcomputers,AMD,AMD Ryzen 7 9700X 3.8 GHz 8-Core AM5 Processor Tray,cpu,85000.0,https://zahcomputers.pk/product/amd-ryzen-7-9700x-3-8-ghz-8-core-am5-processor-tray/
zahcomputers,Intel,"Intel Core Ultra 5 245K – Core Ultra 5 (Series 2) Arrow Lake 14-Core (6P+8E), LGA 1851, 125W Desktop Processor",cpu,80000.0,https://zahcomputers.pk/product/intel-core-ultra-5-245k-core-ultra-5-series-2-arrow-lake-14-core-6p8e-lga-1851-125w-desktop-processor/
zahcomputers,Intel,Intel Core i7-14700 2.1 GHz 20-Core LGA 1700 Processor (Tray),cpu,99000.0,https://zahcomputers.pk/product/intel-core-i7-14700-2-1-ghz-20-core-lga-1700-processor-tray/
zahcomputers,Intel,Intel Core Ultra 9 285K Extreme Performance & Efficient Processor,cpu,175000.0,https://zahcomputers.pk/product/intel-core-ultra-9-processor-285k-extreme-performance-efficient/
zahcomputers,Intel,Intel Core i9-13900K 3 GHz 24-Core LGA 1700 Processor Tray,cpu,108000.0,https://zahcomputers.pk/product/intel-core-i9-13900k-3-ghz-24-core-lga-1700-processor-tray/
zahcomputers,AMD,AMD Ryzen 9 9950X3D 4.4 GHz 16-Core AM5 Gaming Processor,cpu,250000.0,https://zahcomputers.pk/product/amd-ryzen-9-9950x3d-4-4-ghz-16-core-am5-gaming-processor/
zahcomputers,AMD,AMD Ryzen 7 5700X Desktop Processor – Tray,cpu,44500.0,https://zahcomputers.pk/product/amd-ryzen-7-5700x-desktop-processor-tray/
zahcomputers,AMD,AMD Ryzen 5 8400F 4.2 GHz Six-Core AM5 Processor Tray,cpu,32000.0,https://zahcomputers.pk/product/amd-ryzen-5-8400f-4-2-ghz-six-core-am5-processor-tray/
zahcomputers,Intel,Intel Core Ultra 7 265K 3.9 GHz 20-Core LGA 1851 Processor,cpu,100000.0,https://zahcomputers.pk/product/intel-core-ultra-7-265k-3-9-ghz-20-core-lga-1851-processor/
zahcomputers,Intel,Intel Core i7-14700K 3.4 GHz 14th Gen 20-Core LGA 1700 Processor (Tray),cpu,105000.0,https://zahcomputers.pk/product/intel-core-i7-14700k-3-4-ghz-14th-gen-20-core-lga-1700-processor-tray/
zahcomputers,Intel,Intel Core i7-14700KF 3.4 GHz 14th Gen 20-Core LGA 1700 Processor (Tary),cpu,93000.0,https://zahcomputers.pk/product/intel-core-i7-14700kf-3-4-ghz-14th-gen-20-core-lga-1700-processor-tary/
zahcomputers,Intel,Intel Core i5-14600K 3.5 GHz 14th Gen 14-Core LGA 1700 Processor (Tray),cpu,78000.0,https://zahcomputers.pk/product/intel-core-i5-14600k-3-5-ghz-14th-gen-14-core-lga-1700-processor-tray/
